snapshot_ts_ms,stage,symbol,side,strategy,signal_id,pending_id,setup_id,outcome,image_path,context_interval,entry_interval,breakout_level,entry_ref,stop,tp1,tp2,note,image_available
1773833521293,pending,BNBUSDT,SHORT,short_exhaustion_retest,,BNBUSDT-SHORT-EXH-1773832500000,BNBUSDT-SHORT-EXH-1773832500000,,review_snapshots/20260318/BNBUSDT_SHORT_short_exhaustion_retest_pending_1773832500000.png,1h,15m,670.08,,,,,1h exhaustion 27/35 + 15m breakdown 26/30 -> retest fail pending,
1773833526033,pending,SUIUSDT,SHORT,short_exhaustion_retest,,SUIUSDT-SHORT-EXH-1773832500000,SUIUSDT-SHORT-EXH-1773832500000,,review_snapshots/20260318/SUIUSDT_SHORT_short_exhaustion_retest_pending_1773832500000.png,1h,15m,1.0191,,,,,1h exhaustion 33/35 + 15m breakdown 25/30 -> retest fail pending,
1773833531296,pending,LINKUSDT,SHORT,short_exhaustion_retest,,LINKUSDT-SHORT-EXH-1773832500000,LINKUSDT-SHORT-EXH-1773832500000,,review_snapshots/20260318/LINKUSDT_SHORT_short_exhaustion_retest_pending_1773832500000.png,1h,15m,9.715,,,,,1h exhaustion 23/35 + 15m breakdown 26/30 -> retest fail pending,
1773833532969,pending,AVAXUSDT,SHORT,short_exhaustion_retest,,AVAXUSDT-SHORT-EXH-1773832500000,AVAXUSDT-SHORT-EXH-1773832500000,,review_snapshots/20260318/AVAXUSDT_SHORT_short_exhaustion_retest_pending_1773832500000.png,1h,15m,10.174,,,,,1h exhaustion 33/35 + 15m breakdown 30/30 -> retest fail pending,
1773833550044,pending,DASHUSDT,SHORT,short_exhaustion_retest,,DASHUSDT-SHORT-EXH-1773832500000,DASHUSDT-SHORT-EXH-1773832500000,,review_snapshots/20260318/DASHUSDT_SHORT_short_exhaustion_retest_pending_1773832500000.png,1h,15m,34.9,,,,,1h exhaustion 27/35 + 15m breakdown 28/30 -> retest fail pending,
1773833555773,pending,ICPUSDT,SHORT,short_exhaustion_retest,,ICPUSDT-SHORT-EXH-1773832500000,ICPUSDT-SHORT-EXH-1773832500000,,review_snapshots/20260318/ICPUSDT_SHORT_short_exhaustion_retest_pending_1773832500000.png,1h,15m,2.681,,,,,1h exhaustion 25/35 + 15m breakdown 28/30 -> retest fail pending,
1773833557466,pending,ETCUSDT,SHORT,short_exhaustion_retest,,ETCUSDT-SHORT-EXH-1773832500000,ETCUSDT-SHORT-EXH-1773832500000,,review_snapshots/20260318/ETCUSDT_SHORT_short_exhaustion_retest_pending_1773832500000.png,1h,15m,8.806,,,,,1h exhaustion 25/35 + 15m breakdown 26/30 -> retest fail pending,
1773833873189,pending,OPUSDT,SHORT,short_exhaustion_retest,,OPUSDT-SHORT-EXH-1773832500000,OPUSDT-SHORT-EXH-1773832500000,,review_snapshots/20260318/OPUSDT_SHORT_short_exhaustion_retest_pending_1773832500000.png,1h,15m,0.1348,,,,,1h exhaustion 27/35 + 15m breakdown 25/30 -> retest fail pending,
1773834313352,closed,PUMPUSDT,SHORT,short_exhaustion_retest,PUMPUSDT-SHORT-1773818100000-1,,PUMPUSDT-SHORT-1773818100000-1,WIN_TP1,review_snapshots/20260318/PUMPUSDT_SHORT_short_exhaustion_retest_closed_1773818100000.png,1h,15m,0.00211,0.002108,0.00217124,0.00204476,0.00198152,WIN_TP1 | r=1.00 | tp1 hit,
1773834316889,confirmed,SUIUSDT,SHORT,short_exhaustion_retest,SUIUSDT-SHORT-1773832500000-1,,SUIUSDT-SHORT-1773832500000-1,,review_snapshots/20260318/SUIUSDT_SHORT_short_exhaustion_retest_confirmed_1773832500000.png,1h,15m,1.0191,1.0043,1.034429,0.9741709999999999,0.9440419999999998,1h exhaustion 33/35 + 15m breakdown 25/30 -> retest fail retest fail + 15m retest 35/35,
